
sikuli	png	screen	type	name	comment
find("startup_img_logo.png") #startup_img_logo.png	startup_img_logo.png	startup	img	logo	
find("startup_txt_title.png") #startup_txt_title.png	startup_txt_title.png	startup	txt	title	
find("startup_img_importmedia.png") #startup_img_importmedia.png	startup_img_importmedia.png	startup	img	importmedia	
find("startup_img_findmoments.png") #startup_img_findmoments.png	startup_img_findmoments.png	startup	img	findmoments	
find("startup_img_camhappy.png") #startup_img_camhappy.png	startup_img_camhappy.png	startup	img	camhappy	
find("startup_checked_autolaunchcam.png") #startup_checked_autolaunchcam.png	startup_checked_autolaunchcam.png	startup	checked	autolaunchcam	
find("startup_unchecked_autolaunchcam.png") #startup_unchecked_autolaunchcam.png	startup_unchecked_autolaunchcam.png	startup	unchecked	autolaunchcam	
find("startup_btn_continue.png") #startup_btn_continue.png	startup_btn_continue.png	startup	btn	continue	
find("createacct_txt_title.png") #createacct_txt_title.png	createacct_txt_title.png	createacct	txt	title	
find("createacct_txt_subtitle.png") #createacct_txt_subtitle.png	createacct_txt_subtitle.png	createacct	txt	subtitle	
find("createacct_txtbox_email.png") #createacct_txtbox_email.png	createacct_txtbox_email.png	createacct	txtbox	email	
find("createacct_txtbox_password.png") #createacct_txtbox_password.png	createacct_txtbox_password.png	createacct	txtbox	password	
find("createacct_checked_getnews.png") #createacct_checked_getnews.png	createacct_checked_getnews.png	createacct	checked	getnews	
find("createacct_unchecked_getnews.png") #createacct_unchecked_getnews.png	createacct_unchecked_getnews.png	createacct	unchecked	getnews	
find("createacct_checked_iacknowledge.png") #createacct_checked_iacknowledge.png	createacct_checked_iacknowledge.png	createacct	checked	iacknowledge	
find("createacct_unchecked_iacknowledge.png") #createacct_unchecked_iacknowledge.png	createacct_unchecked_iacknowledge.png	createacct	unchecked	iacknowledge	
find("createacct_btn_getacct.png") #createacct_btn_getacct.png	createacct_btn_getacct.png	createacct	btn	getacct	
find("createacct_btn_signin.png") #createacct_btn_signin.png	createacct_btn_signin.png	createacct	btn	signin	
find("signin_img_logo.png") #signin_img_logo.png	signin_img_logo.png	signin	img	logo	
find("signin_txt_title.png") #signin_txt_title.png	signin_txt_title.png	signin	txt	title	
find("signin_txtbox_emailpw.png") #signin_txtbox_emailpw.png	signin_txtbox_emailpw.png	signin	txtbox	emailpw	
find("signin_btn_signin.png") #signin_btn_signin.png	signin_btn_signin.png	signin	btn	signin	
find("signin_btn_forgot.png") #signin_btn_forgot.png	signin_btn_forgot.png	signin	btn	forgot	
find("signin_btn_resendemail.png") #signin_btn_resendemail.png	signin_btn_resendemail.png	signin	btn	resendemail	
find("signin_btn_needacct.png") #signin_btn_needacct.png	signin_btn_needacct.png	signin	btn	needacct	
find("conncam_txt_title.png") #conncam_txt_title.png	conncam_txt_title.png	conncam	txt	title	
find("conncam_txt_plugcam.png") #conncam_txt_plugcam.png	conncam_txt_plugcam.png	conncam	txt	plugcam	
find("conncam_txt_camon.png") #conncam_txt_camon.png	conncam_txt_camon.png	conncam	txt	camon	
find("conncam_txt_selectimport.png") #conncam_txt_selectimport.png	conncam_txt_selectimport.png	conncam	txt	selectimport	
find("conncam_btn_gotit.png") #conncam_btn_gotit.png	conncam_btn_gotit.png	conncam	btn	gotit	
find("conncam_btn_getsupport.png") #conncam_btn_getsupport.png	conncam_btn_getsupport.png	conncam	btn	getsupport	
find("media_img_addmedia.png") #media_img_addmedia.png	media_img_addmedia.png	media	img	addmedia	
find("media_selected_media.png") #media_selected_media.png	media_selected_media.png	media	selected	media	
find("media_unselected_media.png") #media_unselected_media.png	media_unselected_media.png	media	unselected	media	
find("media_selected_recentlyadd.png") #media_selected_recentlyadd.png	media_selected_recentlyadd.png	media	selected	recentlyadd	
find("media_unselected_recentlyadd.png") #media_unselected_recentlyadd.png	media_unselected_recentlyadd.png	media	unselected	recentlyadd	
find("media_selected_edits.png") #media_selected_edits.png	media_selected_edits.png	media	selected	edits	
find("media_unselected_edits.png") #media_unselected_edits.png	media_unselected_edits.png	media	unselected	edits	
find("media_txt_title.png") #media_txt_title.png	media_txt_title.png	media	txt	title	
find("media_btn_connectcam.png") #media_btn_connectcam.png	media_btn_connectcam.png	media	btn	connectcam	
find("media_btn_choosefolder.png") #media_btn_choosefolder.png	media_btn_choosefolder.png	media	btn	choosefolder	
find("popup_btn_indexinfo.png") #popup_btn_indexinfo.png	popup_btn_indexinfo.png	popup	btn	indexinfo	
find("media_img_alerts.png") #media_img_alerts.png	media_img_alerts.png	media	img	alerts	
